"enc_adj";"AUC_mean";"et";"si";"et2"
367;0,637904791597727;"Encoding";0,610526315789474;"Encoding"
368;0,625212032924147;"Encoding";0,510526315789474;"Encoding"
369;0,716868746566581;"Encoding";0,768421052631579;"Encoding"
370;0,736385390079909;"Encoding";0,784210526315789;"Encoding"
371;0,727149997661602;"Encoding";0,731578947368421;"Encoding"
372;0,753694958258982;"Encoding";0,721052631578947;"Encoding"
373;0,732796563664401;"Encoding";0,652631578947368;"Encoding"
374;0,742713660617684;"Encoding";0,742105263157895;"Encoding"
375;0,727787603817438;"Encoding";0,663157894736842;"Encoding"
376;0,723198540981181;"Encoding";0,647368421052632;"Encoding"
377;0,715174361117689;"Encoding";0,726315789473684;"Encoding"
378;0,731626103088773;"Encoding";0,694736842105263;"Encoding"
379;0,760038095390084;"Encoding";0,689473684210526;"Encoding"
380;0,74271107262507;"Encoding";0,731578947368421;"Encoding"
381;0,744003494635101;"Encoding";0,7;"Encoding"
382;0,735645235401796;"Encoding";0,752631578947368;"Encoding"
383;0,711660750664486;"Encoding";0,678947368421053;"Encoding"
384;0,711986960434279;"Encoding";0,668421052631579;"Encoding"
385;0,618700548183332;"Encoding";0,515789473684211;"Encoding"
386;0,733552166008256;"Encoding";0,721052631578947;"Encoding"
387;0,711695635071171;"Encoding";0,7;"Encoding"
388;0,729228550673409;"Encoding";0,7;"Encoding"
389;0,74921489456093;"Encoding";0,742105263157895;"Encoding"
390;0,746306212955068;"Encoding";0,752631578947368;"Encoding"
391;0,756820874598007;"Encoding";0,752631578947368;"Encoding"
392;0,748799306041653;"Encoding";0,789473684210526;"Encoding"
393;0,666101138325936;"Encoding";0,810526315789474;"Encoding"
394;0,685444054805835;"Encoding";0,763157894736842;"Encoding"
395;0,725485279963413;"Encoding";0,784210526315789;"Encoding"
396;0,719975917233531;"Encoding";0,731578947368421;"Encoding"
397;0,750468966315048;"Encoding";0,763157894736842;"Encoding"
398;0,734917090740384;"Encoding";0,710526315789474;"Encoding"
399;0,742548005784165;"Encoding";0,757894736842105;"Encoding"
400;0,735785015529802;"Encoding";0,778947368421053;"Encoding"
401;0,716516249731092;"Encoding";0,773684210526316;"Encoding"
402;0,708615141949306;"Encoding";0,752631578947368;"Encoding"
403;0,731358193746289;"Encoding";0,794736842105263;"Encoding"
404;0,746619311455595;"Encoding";0,757894736842105;"Encoding"
405;0,768654166447639;"Encoding";0,710526315789474;"Encoding"
406;0,64984807854558;"Encoding";0,731578947368421;"Encoding"
407;0,729020093206743;"Encoding";0,784210526315789;"Encoding"
408;0,712193295112401;"Encoding";0,731578947368421;"Encoding"
409;0,698964881738704;"Encoding";0,694736842105263;"Encoding"
410;0,712611409739746;"Encoding";0,710526315789474;"Encoding"
411;0,74973961288871;"Encoding";0,794736842105263;"Encoding"
412;0,738247181625766;"Encoding";0,773684210526316;"Encoding"
413;0,676360802172661;"Encoding";0,784210526315789;"Encoding"
414;0,711868682767414;"Encoding";0,694736842105263;"Encoding"
415;0,694226475979832;"Encoding";0,752631578947368;"Encoding"
416;0,731920829135978;"Encoding";0,721052631578947;"Encoding"
417;0,744442573690094;"Encoding";0,668421052631579;"Encoding"
418;0,779407370180355;"Encoding";0,794736842105263;"Encoding"
419;0,711244926796124;"Encoding";0,736842105263158;"Encoding"
420;0,753892327017857;"Encoding";0,636842105263158;"Encoding"
421;0,713140757361473;"Encoding";0,742105263157895;"Encoding"
422;0,752977984574537;"Encoding";0,731578947368421;"Encoding"
423;0,729443038136641;"Encoding";0,7;"Encoding"
424;0,775860415742755;"Encoding";0,821052631578947;"Encoding"
425;0,742512842465014;"Encoding";0,694736842105263;"Encoding"
426;0,757102586072183;"Encoding";0,705263157894737;"Encoding"
427;0,727669761426675;"Encoding";0,731578947368421;"Encoding"
428;0,714004252391648;"Encoding";0,742105263157895;"Encoding"
429;0,718430804772635;"Encoding";0,647368421052632;"Encoding"
430;0,727558249599936;"Encoding";0,721052631578947;"Encoding"
431;0,711283971393018;"Encoding";0,710526315789474;"Encoding"
432;0,714122216027475;"Encoding";0,6;"Encoding"
433;0,648351531727232;"Encoding";0,594736842105263;"Encoding"
434;0,735391050107324;"Encoding";0,752631578947368;"Encoding"
435;0,7579924763329;"Encoding";0,752631578947368;"Encoding"
436;0,712719583126334;"Encoding";0,715789473684211;"Encoding"
437;0,731469227716389;"Encoding";0,694736842105263;"Encoding"
438;0,739977075642539;"Encoding";0,721052631578947;"Encoding"
439;0,717959119980306;"Encoding";0,673684210526316;"Encoding"
440;0,715586574309318;"Encoding";0,678947368421053;"Encoding"
441;0,65701812525106;"Encoding";0,773684210526316;"Encoding"
442;0,731669919630876;"Encoding";0,731578947368421;"Encoding"
443;0,696943107543899;"Encoding";0,652631578947368;"Encoding"
444;0,648891177985193;"Encoding";0,678947368421053;"Encoding"
445;0,714269624951284;"Encoding";0,7;"Encoding"
446;0,716922321567128;"Encoding";0,652631578947368;"Encoding"
447;0,748631456010315;"Encoding";0,805263157894737;"Encoding"
448;0,749818551497633;"Encoding";0,668421052631579;"Encoding"
449;0,76723927010786;"Encoding";0,647368421052632;"Encoding"
450;0,745182570798341;"Encoding";0,668421052631579;"Encoding"
